1000 100000	
517	787	11
795	770	23
917	935	50
941	642	46
1000	13	13
663	177	17
931	873	37
398	47	38
424	246	28
809	408	16
283	828	50
167	43	48
912	678	14
483	393	28
310	133	8
238	843	49
946	644	34
988	507	2
150	212	5
487	783	21
697	118	29
114	649	22
756	407	8
864	37	9
539	380	18
41	423	9
783	799	11
940	269	16
347	476	21
516	763	8
176	323	46
157	727	49
151	921	16
624	229	29
438	68	19
463	248	23
529	254	50
400	100	45
822	671	33
60	380	33
662	925	16
909	769	50
497	49	24
458	457	41
549	429	40
16	160	43
393	561	19
447	324	11
841	736	1
316	501	8
37	32	35
815	671	16
984	610	23
134	413	11
36	726	40
652	842	24
784	127	45
22	886	46
373	456	49
307	519	8
42	705	16
841	110	16
408	105	8
119	320	17
395	522	6
346	72	39
237	407	48
885	715	5
698	415	45
41	32	40
374	612	49
243	209	25
653	104	26
672	449	16
390	107	1
754	662	21
730	442	5
340	420	27
266	943	11
459	822	32
624	854	8
516	593	36
184	863	6
96	444	24
218	793	20
851	220	10
280	140	34
1	216	35
417	826	21
952	957	22
323	238	48
23	433	2
805	722	39
462	965	9
894	233	22
514	360	45
358	977	29
698	61	28
6	399	33
977	668	49
954	615	23
55	302	32
764	269	2
598	315	18
284	217	49
1	544	29
952	231	17
147	309	3
433	617	5
437	809	29
639	150	38
678	198	40
785	448	17
281	854	27
999	431	47
46	287	8
631	494	42
31	996	48
562	425	32
260	774	48
696	456	48
921	786	25
779	558	35
438	726	39
925	394	26
345	967	12
76	151	3
428	279	41
558	896	21
551	921	23
749	374	8
117	110	14
205	284	42
375	261	17
249	626	20
973	404	20
584	543	3
172	657	32
12	284	32
973	690	3
862	812	35
908	669	4
946	536	24
25	181	12
113	136	36
334	509	39
280	669	3
328	111	17
223	578	4
847	383	50
875	921	2
625	929	6
768	633	17
291	186	13
812	580	47
837	640	3
374	778	3
365	133	26
413	863	26
483	489	33
134	561	3
931	316	11
116	348	25
343	837	34
390	493	6
239	203	37
709	213	17
502	638	42
404	318	50
609	828	12
53	294	5
445	133	33
733	129	13
793	984	28
522	111	24
579	41	17
82	447	46
776	566	26
150	88	4
594	279	22
709	609	38
277	963	16
810	435	40
635	96	47
71	164	11
851	989	30
162	402	17
886	641	20
764	927	8
329	976	21
828	360	33
453	241	4
344	151	16
869	176	15
566	578	29
818	712	42
990	471	16
53	532	9
721	191	21
63	125	48
703	594	21
872	730	6
506	428	7
942	775	3
235	778	7
94	71	38
169	330	25
174	834	18
396	432	30
122	541	38
520	542	13
552	505	3
575	819	21
448	816	38
724	300	45
659	906	43
475	543	24
475	884	26
155	74	49
675	761	46
86	811	1
624	630	19
757	723	44
538	426	44
677	891	49
214	180	38
650	449	6
253	664	3
868	263	34
217	686	27
436	733	19
301	18	9
413	194	34
506	911	16
476	798	3
866	504	28
86	77	35
41	225	50
594	197	15
425	200	39
444	739	3
959	854	39
767	788	48
410	145	14
39	686	1
254	9	42
546	285	18
115	230	22
293	808	9
300	512	26
397	760	21
581	310	17
403	694	18
475	816	50
284	767	28
131	798	23
844	116	36
615	925	30
672	453	23
9	267	16
60	972	22
499	363	23
473	665	6
201	597	48
470	177	2
569	657	6
821	259	47
656	956	24
100	371	11
61	640	26
150	549	37
888	753	6
824	457	22
819	479	22
476	946	50
242	515	22
552	806	40
909	719	41
161	444	12
896	21	14
919	61	37
825	821	41
932	142	47
138	625	34
925	683	37
345	660	24
840	105	26
894	291	13
256	793	3
247	166	15
866	81	44
960	39	30
645	517	14
364	688	20
297	179	24
498	16	44
189	971	28
339	591	37
638	349	34
614	30	13
240	377	17
354	163	50
518	944	42
457	437	2
834	20	13
870	732	23
440	232	20
612	501	26
902	209	38
367	573	41
875	664	16
203	758	35
809	107	28
710	835	27
515	806	2
148	450	45
910	886	34
580	402	28
217	35	32
255	957	28
986	344	13
30	568	44
207	375	29
807	566	4
250	313	37
118	483	44
878	842	5
977	760	10
57	292	11
963	500	49
369	472	44
941	731	34
236	210	39
136	419	47
40	367	41
218	62	18
128	284	25
636	617	32
818	300	5
588	976	14
754	224	41
770	142	27
881	603	45
47	583	50
232	505	45
524	725	44
915	13	24
980	266	29
303	126	14
135	485	22
680	108	8
292	341	15
545	113	32
438	158	30
602	734	32
131	924	16
616	640	43
794	495	41
293	48	17
492	628	4
170	328	44
889	501	33
142	259	36
50	340	26
217	361	41
401	422	48
325	851	44
493	998	7
217	432	8
941	978	27
984	602	41
376	43	42
878	910	6
784	303	32
694	173	17
514	975	36
849	596	45
489	762	12
188	726	50
539	191	35
132	292	25
668	684	13
441	431	25
769	230	24
164	907	44
462	705	29
170	57	34
3	465	40
405	14	4
252	130	30
396	880	47
523	550	23
497	82	16
114	923	3
525	729	15
778	715	12
767	500	2
211	243	4
250	330	1
850	596	50
392	965	1
69	572	23
912	759	38
127	50	47
908	119	32
195	283	41
506	176	11
524	721	1
775	876	39
699	190	37
578	627	32
367	602	39
548	457	27
245	364	9
913	753	22
332	854	23
638	369	47
442	184	3
95	824	3
267	474	48
186	416	48
549	90	5
448	383	38
513	480	34
153	956	14
441	294	36
452	144	43
327	527	36
854	339	25
629	78	42
657	480	23
581	666	5
92	376	13
658	2	48
168	217	11
874	605	12
856	508	12
65	260	20
486	684	37
618	967	37
170	163	50
763	319	33
490	600	9
381	310	38
523	20	28
467	223	35
681	466	7
288	446	47
674	243	34
529	815	39
681	675	33
166	201	3
72	683	32
517	182	50
976	545	40
653	717	5
652	563	29
1	388	46
794	38	17
634	519	7
383	44	23
523	896	43
853	818	40
423	747	8
61	92	16
488	976	21
487	604	34
758	180	9
60	919	23
748	184	9
300	717	9
566	253	5
685	950	39
267	736	3
206	10	47
981	889	22
293	105	39
856	984	7
81	704	20
838	221	10
299	250	10
709	875	22
47	415	41
123	364	44
836	587	32
801	130	39
411	129	26
672	131	17
977	784	9
5	890	47
969	533	3
578	522	10
749	737	47
487	942	39
813	370	9
278	760	31
691	343	34
665	484	12
382	253	11
188	433	47
359	249	1
394	407	26
172	722	24
3	384	36
416	511	19
383	16	9
271	242	24
821	916	46
491	558	29
558	367	37
545	489	15
867	824	45
349	745	44
860	920	23
559	698	48
497	637	39
448	653	32
726	509	26
672	135	9
65	932	1
528	550	2
109	40	2
268	15	32
136	409	6
964	290	13
917	845	3
883	540	23
38	151	6
949	14	16
199	325	16
394	281	20
512	73	50
32	390	6
681	325	3
302	715	45
49	333	16
341	796	11
126	813	38
298	353	30
522	156	41
157	3	31
895	604	40
865	131	49
158	428	16
700	119	4
510	975	24
427	774	29
144	450	18
132	414	44
847	433	8
971	930	1
821	766	30
721	799	28
583	834	4
315	297	9
285	845	13
200	279	1
407	922	24
34	734	2
270	996	10
222	82	7
583	381	47
759	42	22
323	648	34
629	322	27
233	26	21
984	791	14
882	324	22
258	365	44
390	173	4
459	55	6
13	328	37
546	848	24
877	92	18
614	880	18
926	864	17
295	807	31
400	552	40
785	315	35
598	853	29
955	679	7
251	689	2
909	841	28
95	595	12
135	438	9
859	175	25
28	665	15
119	416	14
259	483	30
248	166	42
659	533	10
931	27	42
471	427	50
512	577	31
20	615	12
39	191	21
274	497	36
662	775	10
464	530	15
95	745	34
355	773	46
583	542	29
583	930	28
876	835	27
365	65	11
405	80	18
447	212	9
375	297	31
985	18	29
723	846	42
984	653	24
525	515	33
683	206	38
326	581	2
707	131	12
683	913	12
919	257	22
31	931	14
725	661	9
903	659	21
912	929	26
54	672	49
731	605	34
413	244	37
917	998	17
27	492	7
269	889	41
921	981	4
866	203	16
81	169	39
808	73	45
947	912	35
980	523	36
610	392	35
690	436	47
236	106	24
627	307	48
286	646	24
610	342	35
147	511	27
79	423	2
741	649	10
294	296	23
455	279	39
300	278	8
997	562	1
860	153	4
788	736	24
49	656	24
72	267	38
631	812	19
290	900	14
642	420	38
25	255	18
905	910	13
875	857	19
197	722	24
421	264	8
98	538	17
416	816	10
34	216	37
584	888	9
205	229	29
618	48	28
784	179	16
817	394	32
915	730	44
97	416	10
759	633	39
618	501	45
710	604	32
110	425	18
274	107	44
160	1	27
592	263	38
901	547	4
682	893	31
707	27	14
576	799	31
704	282	7
815	774	30
339	835	11
350	39	19
258	240	2
48	768	48
554	922	42
735	904	50
84	333	32
876	257	31
792	852	21
996	944	22
984	938	3
379	346	12
644	854	10
467	383	31
165	32	34
952	272	29
75	343	30
261	826	31
381	360	13
258	336	26
252	82	16
831	388	40
348	14	43
86	270	8
996	521	24
674	709	18
955	858	36
172	183	23
24	430	41
846	872	21
124	604	30
693	600	23
734	960	36
130	251	31
778	796	28
692	530	41
603	475	27
519	553	8
423	701	3
489	865	23
291	970	39
15	536	26
960	325	15
345	88	10
74	822	24
583	126	4
731	502	23
354	476	32
368	710	39
920	981	2
859	955	46
4	87	37
324	819	15
71	371	6
600	317	23
633	750	11
374	950	43
892	419	24
20	749	27
434	766	49
872	559	2
169	573	27
980	695	34
476	478	42
23	675	29
235	9	46
286	510	16
211	368	18
207	360	35
637	122	40
531	934	14
290	585	4
999	680	35
871	481	20
217	778	6
68	273	36
441	949	19
971	557	21
558	81	25
527	325	44
765	327	14
806	421	24
850	688	8
348	629	34
452	923	50
743	785	20
225	293	15
299	233	26
442	427	23
5	39	19
242	383	9
303	850	18
243	803	36
335	456	35
163	869	45
181	398	29
238	841	4
8	39	18
532	246	40
863	206	8
787	866	38
87	376	10
271	254	37
32	764	9
267	953	27
46	44	10
830	302	8
789	153	34
690	475	9
556	333	32
217	219	47
541	470	17
122	10	14
145	784	41
149	560	21
69	349	12
167	739	24
894	456	32
63	774	27
390	384	50
661	487	13
488	229	13
978	270	26
472	764	22
280	862	29
814	671	48
183	419	8
724	371	21
438	763	1
174	149	28
919	186	24
783	380	20
600	862	21
911	527	45
944	841	2
908	681	22
636	909	17
514	898	13
939	118	35
743	737	25
413	532	43
232	796	8
767	813	15
871	95	13
265	568	2
904	783	17
348	312	41
320	263	31
43	102	13
307	150	48
303	619	45
582	151	12
186	300	11
6	458	32
312	712	9
814	216	12
699	599	41
627	985	1
376	340	1
365	971	32
969	638	5
63	144	46
157	682	9
362	825	34
163	300	17
838	154	19
511	908	30
765	584	31
682	154	21
861	757	29
356	374	37
371	285	24
285	124	36
461	721	34
837	64	27
288	731	42
245	692	49
70	753	19
304	781	42
10	382	17
63	2	7
944	800	9
133	912	21
368	198	19
150	138	35
795	727	38
403	408	48
868	892	12
942	17	19
573	402	13
76	581	28
484	901	32
166	835	35
873	956	43
463	792	7
699	478	16
13	939	18
908	115	31
437	36	8
702	443	16
74	546	32
448	628	45
296	27	36
911	767	20
933	499	37
969	55	38
107	940	36
303	262	45
945	409	32
1000	912	45
765	339	2
886	310	30
209	408	11
609	748	24
406	555	20
855	648	30
853	759	9
997	16	26
261	452	46
204	510	16
647	281	40
702	826	12
629	435	13
366	960	42
60	639	3
406	211	3
945	353	28
596	984	40
772	426	16
803	558	26
952	342	10
364	890	32
59	779	49
686	48	27
416	792	49
893	851	48
831	498	19
461	851	32
880	74	11
392	887	31
675	152	6
827	75	33
993	562	26
836	375	6
190	804	20
677	21	29
795	407	13
526	103	34
658	25	22
161	587	5
356	883	17
692	784	11
568	286	14
855	621	35
837	656	50
80	982	30
114	76	13
836	339	15
756	430	30
65	895	32
646	864	40
817	301	37
71	294	43
647	195	37
730	923	33
305	306	42
347	914	1
199	250	8
67	324	4
605	513	15
599	929	48
137	329	14
855	957	4
875	129	9
521	173	26
68	416	33
867	590	37
521	841	29
531	448	35
130	479	9
775	975	35
214	443	49
433	838	16
945	9	17
509	149	36
140	344	47
178	998	42
652	854	9
209	605	16
243	700	50
158	402	2
552	388	37
556	420	18
850	499	13
475	90	50
806	863	50
595	648	36
34	487	30
762	715	38
961	851	11
20	17	38
538	420	27
565	933	22
23	552	41
180	365	47
85	595	43
702	903	23
100	69	39
993	839	46
740	229	1
272	563	46
315	769	15
52	648	12
268	75	44
381	280	49
799	887	28
297	450	46
550	257	23
553	794	16
123	945	9
816	92	44
306	957	38
545	228	36
500	106	38
931	312	23
32	406	14
32	573	33
785	176	2
600	261	16
665	54	32
41	314	36
935	881	27
175	984	10
495	793	14
725	206	46
123	82	19
392	989	6
189	409	33
746	134	3
721	179	11
952	540	38
355	643	12
747	560	29
915	545	43
612	839	25
603	729	1
819	6	12
788	314	41
769	569	24
908	169	19
171	630	2
424	558	32
495	367	45
674	227	40
896	85	36
698	619	10
544	643	23
381	786	41
39	587	29
64	147	16
184	799	3
136	264	11
930	694	45
389	160	16
201	568	25
121	229	28
85	895	40
344	277	32
564	14	3
801	577	24
423	671	39
292	571	50
475	490	45
837	916	38
430	316	17
977	566	2
291	936	41
303	115	25
774	453	17
222	188	28
361	607	50
987	910	24
74	317	31
604	978	12
541	113	6
805	952	3
166	280	19
495	209	15
430	130	7
722	265	25
408	493	37
847	120	17
553	789	13
148	143	16
348	242	18
439	549	33
552	667	31
595	789	43
687	16	34
484	309	30
356	716	16
225	188	20
855	535	27
478	983	27
198	275	4
598	932	49
185	479	50
890	297	17
342	504	38
748	192	17
514	338	6
633	902	25
613	911	9
577	541	17
417	676	22
684	222	8
261	254	13
279	722	35
377	258	2
417	21	42
198	252	29
213	60	50
594	677	24
447	178	1
573	118	19
630	477	43
487	10	29
350	239	41
896	752	37
434	407	13
845	720	28
84	308	12
159	366	46
765	763	20
899	71	32
369	84	36
580	750	37
222	824	6
407	260	15
727	388	37
477	303	9
462	110	6
239	526	32
299	214	32
628	431	46
224	915	2
631	164	13
865	253	19
156	579	50
516	450	7
635	797	18
760	404	34
177	748	42
11	875	18
419	982	5
552	742	13
134	660	32
747	848	25
235	611	4
277	831	49
399	197	6
990	659	41
92	769	30
4	921	12
482	164	5
455	319	23
302	237	22
658	962	41
739	324	47
399	955	17
476	40	6
918	605	43
169	313	46
883	431	20
4	100	24
95	473	20
38	960	34
13	156	32
557	865	25
838	99	37
351	343	10
478	65	35
961	923	41
651	655	3
233	489	18
95	771	30
626	337	17
303	195	49
449	114	27
170	405	8
394	83	2
848	561	31
987	980	18
152	882	24
777	363	15
584	889	12
399	213	11
33	125	17
586	76	9
982	677	11
861	477	26
774	821	46
430	832	16
466	485	12
543	481	7
393	293	2
809	324	2
163	63	43
160	444	6
16	182	49
422	322	4
649	694	20
499	480	5
359	572	45
889	671	34
412	883	17
792	122	30
157	611	50
497	157	18
377	474	47
773	2	22
887	152	46
165	326	30
789	228	23
51	669	12
398	372	4
750	774	23
769	760	20
307	939	44
257	706	18
807	636	17
150	458	43
471	417	31
708	326	40
836	847	4
107	596	33
151	25	32
138	601	7
328	516	24
28	206	31
938	513	14
901	851	23
458	186	12
945	61	7
393	246	15
345	37	36
427	747	40
71	331	26
294	547	21
472	188	6
749	690	39
102	388	15
734	578	44
637	568	6
147	347	5
364	199	45
790	283	37
486	242	22
396	877	34
256	830	14
102	580	47
652	167	20
517	856	44
74	487	37
846	182	13
322	13	16
230	474	38
482	852	43
508	511	17
310	927	10
54	657	6
747	676	34
642	936	23
722	136	47
155	465	36
951	123	38
570	926	24
265	259	14
26	157	4
845	776	11
433	577	31
548	571	21
291	960	27
475	815	14
891	439	37
32	240	15
462	323	13
98	757	7
150	720	29
921	975	7
526	864	33
765	982	8
424	482	35
131	490	28
663	270	40
852	9	13
297	130	29
479	112	39
904	603	7
741	93	37
601	181	36
507	490	12
992	4	36
163	64	50
112	648	45
717	895	21
43	98	2
910	172	31
372	79	36
508	482	33
364	879	33
508	196	27
507	446	23
437	778	29
431	213	27
613	80	16
259	70	11
845	20	24
450	194	28
810	367	46
581	624	36
52	362	45
806	78	4
309	212	18
964	828	47
841	173	34
527	943	23
330	688	35
150	3	43
404	486	24
669	598	25
284	190	22
637	772	26
888	854	8
730	456	11
925	726	50
84	555	17
321	63	17
618	177	31
814	348	20
385	719	50
503	306	21
923	163	26
603	961	22
580	510	17
295	691	37
737	964	8
278	677	38
522	311	29
332	495	35
410	278	39
732	740	48
29	268	4
241	451	2
441	982	30
615	598	42
642	92	32
323	781	3
842	346	5
325	348	22
276	873	3
332	997	5
480	192	35
173	61	9
796	475	50
812	332	18
780	701	45
293	200	17
40	816	15
669	844	38
253	949	29
476	161	38
428	245	25
273	972	18
48	449	12
789	436	16
513	422	9
973	430	18
73	396	46
594	467	7
719	827	49
622	460	8
742	921	26
761	823	37
563	646	6
803	46	31
171	930	26
432	97	5
339	257	2
2	120	11
932	292	30
430	247	23
15	868	4
499	212	5
62	21	27
25	43	21
102	508	15
899	64	32
996	764	1
757	265	12
648	956	33
980	519	28
395	137	4
458	26	9
116	276	40
393	873	5
225	509	32
297	182	26
196	128	43
315	567	10
721	281	42
734	446	28
831	260	23
907	612	12
485	438	10
998	201	11
366	766	7
721	604	32
522	384	8
431	300	45
843	425	9
425	117	24
204	125	22
88	11	38
912	84	13
675	59	29
694	923	33
434	487	21
630	668	17
644	92	3
394	144	31
129	305	4
442	384	17
895	500	27
148	808	44
873	332	29
296	154	43
556	686	38
525	289	36
39	572	6
801	653	20
59	91	21
965	330	34
423	683	10
426	138	10
471	925	32
514	962	30
646	763	49
86	445	38
166	787	38
663	167	26
671	78	34
201	953	40
632	902	16
8	466	41
475	264	17
301	159	22
358	516	33
146	329	46
821	478	35
25	412	48
907	508	47
680	954	13
171	753	1
774	745	41
856	770	17
394	132	14
68	948	15
89	855	13
251	280	8
202	478	9
496	733	2
578	98	38
519	830	28
905	62	50
348	689	31
672	505	41
506	474	14
394	844	49
669	729	20
237	187	19
725	126	6
61	868	33
721	11	6
579	707	39
936	778	31
491	959	21
787	623	24
789	678	4
527	708	32
604	28	21
485	735	32
713	656	38
789	832	36
952	667	10
857	284	47
170	711	23
340	243	40
499	472	21
427	820	32
283	191	40
417	671	12
111	439	30
805	889	41
915	68	47
843	794	10
744	738	48
899	979	21
165	756	25
157	312	28
732	19	8
203	455	33
206	732	34
189	140	6
410	771	40
338	249	25
764	557	46
129	596	27
210	945	17
873	749	38
105	940	49
606	817	42
71	730	13
421	395	3
191	14	11
3	686	23
562	298	12
302	96	46
790	731	18
799	271	37
598	453	11
346	964	27
578	965	27
272	337	45
417	378	16
550	761	26
112	349	27
630	613	9
997	260	7
189	148	5
360	524	50
791	114	15
894	85	38
127	33	40
217	539	34
409	140	12
862	77	49
248	852	45
396	98	3
313	870	23
112	548	18
358	713	34
111	843	12
249	18	31
623	826	29
259	444	49
263	419	45
310	52	25
542	638	5
362	172	12
705	940	15
839	105	1
137	406	47
181	339	19
786	205	4
318	264	49
561	388	15
836	180	50
827	221	23
126	535	30
83	183	36
637	424	18
621	208	28
900	91	10
859	777	24
934	477	9
428	755	32
739	669	11
306	539	47
801	327	43
673	468	41
255	856	38
848	450	5
689	995	7
861	90	8
701	822	44
749	634	35
948	638	18
725	310	11
884	179	40
786	753	49
584	136	2
16	181	42
609	919	41
118	679	31
405	817	5
417	580	34
856	286	22
84	592	33
855	710	20
339	411	28
960	175	7
133	375	48
404	670	7
374	382	42
280	773	46
906	178	2
32	216	6
595	633	50
783	555	35
186	549	1
47	581	20
178	548	6
341	879	29
192	209	49
4	895	45
25	131	26
911	991	9
48	323	17
80	475	10
322	118	23
710	720	11
387	725	16
24	187	11
444	961	22
444	215	15
602	296	23
758	687	39
516	504	42
183	136	38
319	590	12
115	207	42
405	456	41
44	822	4
881	912	6
563	230	29
795	11	15
107	172	1
984	723	36
442	281	16
434	288	19
531	358	40
391	163	23
512	489	20
145	938	14
418	249	15
847	356	20
724	232	41
775	880	46
121	974	17
138	378	28
172	976	31
79	427	30
420	254	20
733	39	15
409	42	27
975	751	44
20	269	5
877	898	27
145	490	20
679	206	3
167	558	50
966	936	30
130	650	35
609	128	10
969	834	49
187	268	10
716	585	34
881	616	3
680	674	49
360	415	24
992	440	12
719	359	19
77	117	2
43	13	5
348	925	16
556	187	11
415	632	37
389	27	9
434	394	15
761	307	31
106	967	11
499	178	34
221	614	44
45	721	23
162	527	37
720	585	36
738	237	11
587	717	50
366	130	49
446	246	21
527	239	12
207	405	44
99	732	43
528	766	3
423	636	21
577	993	8
530	53	44
199	992	45
248	308	44
86	865	17
544	430	39
459	649	17
743	28	13
506	373	24
543	610	14
86	270	46
578	881	40
752	796	22
799	309	26
336	241	5
598	129	30
727	807	38
600	269	13
135	331	13
437	125	47
86	48	43
326	224	8
252	129	45
441	48	44
472	853	50
799	810	19
827	370	18
471	631	13
296	907	8
882	300	8
146	379	40
373	685	24
301	531	17
186	994	32
752	252	24
748	782	46
388	106	3
711	567	39
782	710	17
39	532	19
820	856	1
328	954	7
44	763	15
689	105	18
7	285	26
138	668	27
477	784	40
490	612	21
870	211	23
383	320	45
270	89	5
340	389	39
782	20	15
408	311	49
240	846	11
88	694	34
562	900	32
342	706	6
981	720	16
824	470	7
894	135	26
86	140	39
977	393	13
227	513	5
185	501	29
946	401	17
655	550	26
939	135	50
225	955	46
174	431	5
857	438	32
929	687	2
61	821	24
298	140	20
319	226	13
437	184	31
318	300	31
29	953	43
744	396	2
287	190	11
448	103	13
829	365	49
881	551	12
799	933	15
288	226	33
806	870	4
184	951	33
683	511	9
994	221	47
142	260	20
593	399	14
181	508	13
640	280	28
706	364	42
400	703	4
605	801	23
797	994	38
526	166	3
510	43	45
694	948	1
672	345	14
624	314	40
535	156	30
241	147	24
33	223	48
962	143	8
829	268	38
892	439	11
142	497	46
541	113	40
453	339	31
97	633	41
291	903	22
560	424	41
675	405	4
296	842	1
970	403	46
534	853	9
65	858	24
78	450	38
310	680	7
835	248	2
900	742	7
765	627	41
165	897	12
10	548	34
704	417	5
754	407	34
936	194	20
508	800	5
212	16	3
83	25	20
923	195	34
371	578	17
19	668	19
547	214	33
495	637	40
468	83	38
721	474	30
962	563	34
268	944	20
515	106	13
968	841	18
134	715	26
614	146	20
584	202	46
497	360	8
749	254	12
419	935	33
872	123	48
991	446	30
383	380	34
960	486	21
502	250	22
827	551	37
796	534	28
503	169	19
336	269	36
583	739	1
325	917	11
824	268	27
657	42	14
241	92	31
497	255	28
